TRANSID,EFFORTID,Date,SITE,TRANSECT,TYPE
56305,12297,26-Mar-15,NWFN,H,TL
56313,12298,26-Mar-15,NWFN,H,TL
56284,12293,24-Mar-15,NWFN,N,TL
56290,12294,24-Mar-15,NWFN,N,TL
56310,12297,26-Mar-15,NWFN,N,TL
56318,12298,26-Mar-15,NWFN,N,TL
56259,12290,22-Mar-15,NWFN,T,TL
56249,12288,22-Mar-15,NWFN,T,TL
56281,12293,24-Mar-15,NWFN,T,TL
56288,12294,24-Mar-15,NWFN,T,TL
56325,12299,26-Mar-15,NWFN,T,TL
56331,12300,26-Mar-15,NWFN,T,TL
56278,12293,24-Mar-15,NWFN,Z,TL
56285,12294,24-Mar-15,NWFN,Z,TL
56324,12299,26-Mar-15,NWFN,Z,TL
56330,12300,26-Mar-15,NWFN,Z,TL
55812,12181,19-Feb-15,NWFN,D,TL
55790,12173,19-Feb-15,NWFN,D,TL
55832,12185,22-Feb-15,NWFN,D,TL
55842,12187,22-Feb-15,NWFN,D,TL
55884,12197,24-Feb-15,NWFN,D,TL
55864,12192,24-Feb-15,NWFN,D,TL
55831,12185,22-Feb-15,NWFN,J,TL
55841,12187,22-Feb-15,NWFN,J,TL
55885,12197,24-Feb-15,NWFN,J,TL
55865,12192,24-Feb-15,NWFN,J,TL
56399,12313,31-Mar-15,NWFN,P,TL
56387,12311,31-Mar-15,NWFN,P,TL
56423,12318,02-Apr-15,NWFN,P,TL
56415,12317,02-Apr-15,NWFN,P,TL
56339,12302,29-Mar-15,NWFN,V,TL
56360,12306,29-Mar-15,NWFN,V,TL
56400,12313,31-Mar-15,NWFN,V,TL
56388,12311,31-Mar-15,NWFN,V,TL
56426,12318,02-Apr-15,NWFN,V,TL
56418,12317,02-Apr-15,NWFN,V,TL
56051,12235,05-Mar-15,NWFN,F,TL
56007,12225,05-Mar-15,NWFN,F,TL
56058,12236,08-Mar-15,NWFN,F,TL
56021,12230,08-Mar-15,NWFN,F,TL
56065,12237,10-Mar-15,NWFN,F,TL
56083,12241,10-Mar-15,NWFN,F,TL
56050,12235,05-Mar-15,NWFN,L,TL
56006,12225,05-Mar-15,NWFN,L,TL
56054,12236,08-Mar-15,NWFN,L,TL
56015,12230,08-Mar-15,NWFN,L,TL
56062,12237,10-Mar-15,NWFN,L,TL
56080,12241,10-Mar-15,NWFN,L,TL
56482,12332,07-Apr-15,NWFN,R,TL
56542,12346,07-Apr-15,NWFN,R,TL
56528,12344,09-Apr-15,NWFN,R,TL
56522,12343,09-Apr-15,NWFN,R,TL
56574,12353,12-Apr-15,NWFN,R,TL
56578,12352,12-Apr-15,NWFN,R,TL
56487,12332,07-Apr-15,NWFN,X,TL
56544,12346,07-Apr-15,NWFN,X,TL
56539,12344,09-Apr-15,NWFN,X,TL
56527,12343,09-Apr-15,NWFN,X,TL
56572,12353,12-Apr-15,NWFN,X,TL
56569,12352,12-Apr-15,NWFN,X,TL
56362,12307,29-Mar-15,NWFN,B,NTL
56334,12301,29-Mar-15,NWFN,B,NTL
56406,12314,31-Mar-15,NWFN,B,NTL
56393,12312,31-Mar-15,NWFN,B,NTL
56584,12354,12-Apr-15,NWFN,B,NTL
56567,12351,12-Apr-15,NWFN,B,NTL
56365,12307,29-Mar-15,NWFN,H,NTL
56337,12301,29-Mar-15,NWFN,H,NTL
56458,12322,05-Apr-15,NWFN,H,NTL
56470,12326,05-Apr-15,NWFN,H,NTL
56521,12342,09-Apr-15,NWFN,H,NTL
56535,12345,09-Apr-15,NWFN,H,NTL
55324,12096,01-Feb-15,NWFN,N,TL
55374,12103,01-Feb-15,NWFN,N,TL
55543,12120,03-Feb-15,NWFN,N,TL
55402,12106,03-Feb-15,NWFN,N,TL
55428,12109,05-Feb-15,NWFN,N,TL
55566,12122,05-Feb-15,NWFN,N,TL
55320,12096,01-Feb-15,NWFN,T,TL
55370,12103,01-Feb-15,NWFN,T,TL
55406,12107,03-Feb-15,NWFN,T,TL
